policy,mode,key_variant,split,n_eval,accuracy,macro_f1,direct_count,thor_count,diagnostic_count,min_support,min_margin_default,min_margin_second,min_relative_gain
current_key_unguarded,unguarded,current,overall,2188,0.6809872029250457,0.6838288181460422,1566,621,1,,,,
richer_key_unguarded,unguarded,richer,overall,2188,0.6805301645338209,0.6832720252222527,2027,160,1,,,,
guarded_current_s5_md1_ms0_rg0p03,guarded,current,overall,2188,0.680073126142596,0.6828069626468484,1570,618,0,5,1,0,0.03
guarded_current_s10_md1_ms0_rg0p03,guarded,current,overall,2188,0.6796160877513712,0.6822776856718945,1575,613,0,10,1,0,0.03
guarded_current_s10_md2_ms0_rg0p03,guarded,current,overall,2188,0.6796160877513712,0.6822776856718945,1575,613,0,10,2,0,0.03
guarded_current_s10_md3_ms0_rg0p03,guarded,current,overall,2188,0.6796160877513712,0.6822776856718945,1575,613,0,10,3,0,0.03
guarded_current_s20_md1_ms0_rg0p03,guarded,current,overall,2188,0.6796160877513712,0.6822776856718945,1575,613,0,20,1,0,0.03
guarded_current_s20_md2_ms0_rg0p03,guarded,current,overall,2188,0.6796160877513712,0.6822776856718945,1575,613,0,20,2,0,0.03
guarded_current_s20_md3_ms0_rg0p03,guarded,current,overall,2188,0.6796160877513712,0.6822776856718945,1575,613,0,20,3,0,0.03
guarded_current_s5_md2_ms0_rg0p03,guarded,current,overall,2188,0.6796160877513712,0.6822776856718945,1575,613,0,5,2,0,0.03
guarded_current_s5_md3_ms0_rg0p03,guarded,current,overall,2188,0.6796160877513712,0.6822776856718945,1575,613,0,5,3,0,0.03
guarded_richer_s10_md1_ms0_rg0p03,guarded,richer,overall,2188,0.6796160877513712,0.6822776856718945,2047,141,0,10,1,0,0.03
guarded_richer_s10_md1_ms0_rg0p05,guarded,richer,overall,2188,0.6796160877513712,0.6822776856718945,2047,141,0,10,1,0,0.05
guarded_richer_s10_md2_ms0_rg0p03,guarded,richer,overall,2188,0.6796160877513712,0.6822776856718945,2047,141,0,10,2,0,0.03
guarded_richer_s10_md2_ms0_rg0p05,guarded,richer,overall,2188,0.6796160877513712,0.6822776856718945,2047,141,0,10,2,0,0.05
guarded_richer_s10_md3_ms0_rg0p03,guarded,richer,overall,2188,0.6796160877513712,0.6822776856718945,2047,141,0,10,3,0,0.03
guarded_richer_s10_md3_ms0_rg0p05,guarded,richer,overall,2188,0.6796160877513712,0.6822776856718945,2047,141,0,10,3,0,0.05
guarded_richer_s5_md2_ms0_rg0p03,guarded,richer,overall,2188,0.6796160877513712,0.6822776856718945,2047,141,0,5,2,0,0.03
guarded_richer_s5_md2_ms0_rg0p05,guarded,richer,overall,2188,0.6796160877513712,0.6822776856718945,2047,141,0,5,2,0,0.05
guarded_richer_s5_md3_ms0_rg0p03,guarded,richer,overall,2188,0.6796160877513712,0.6822776856718945,2047,141,0,5,3,0,0.03
guarded_richer_s5_md3_ms0_rg0p05,guarded,richer,overall,2188,0.6796160877513712,0.6822776856718945,2047,141,0,5,3,0,0.05
guarded_richer_s5_md1_ms0_rg0p03,guarded,richer,overall,2188,0.6796160877513712,0.682253960687283,2031,157,0,5,1,0,0.03
guarded_richer_s5_md1_ms0_rg0p05,guarded,richer,overall,2188,0.6796160877513712,0.682253960687283,2031,157,0,5,1,0,0.05
guarded_current_s5_md1_ms0_rg0p05,guarded,current,overall,2188,0.6755027422303473,0.6785907648328005,1739,449,0,5,1,0,0.05
guarded_current_s10_md1_ms0_rg0p05,guarded,current,overall,2188,0.6750457038391224,0.6780791686098221,1744,444,0,10,1,0,0.05
guarded_current_s10_md2_ms0_rg0p05,guarded,current,overall,2188,0.6750457038391224,0.6780791686098221,1744,444,0,10,2,0,0.05
guarded_current_s10_md3_ms0_rg0p05,guarded,current,overall,2188,0.6750457038391224,0.6780791686098221,1744,444,0,10,3,0,0.05
guarded_current_s20_md1_ms0_rg0p05,guarded,current,overall,2188,0.6750457038391224,0.6780791686098221,1744,444,0,20,1,0,0.05
guarded_current_s20_md2_ms0_rg0p05,guarded,current,overall,2188,0.6750457038391224,0.6780791686098221,1744,444,0,20,2,0,0.05
guarded_current_s20_md3_ms0_rg0p05,guarded,current,overall,2188,0.6750457038391224,0.6780791686098221,1744,444,0,20,3,0,0.05
guarded_current_s5_md2_ms0_rg0p05,guarded,current,overall,2188,0.6750457038391224,0.6780791686098221,1744,444,0,5,2,0,0.05
guarded_current_s5_md3_ms0_rg0p05,guarded,current,overall,2188,0.6750457038391224,0.6780791686098221,1744,444,0,5,3,0,0.05
guarded_richer_s20_md1_ms0_rg0p03,guarded,richer,overall,2188,0.6727605118829981,0.6752377335231555,2075,113,0,20,1,0,0.03
guarded_richer_s20_md1_ms0_rg0p05,guarded,richer,overall,2188,0.6727605118829981,0.6752377335231555,2075,113,0,20,1,0,0.05
guarded_richer_s20_md2_ms0_rg0p03,guarded,richer,overall,2188,0.6727605118829981,0.6752377335231555,2075,113,0,20,2,0,0.03
guarded_richer_s20_md2_ms0_rg0p05,guarded,richer,overall,2188,0.6727605118829981,0.6752377335231555,2075,113,0,20,2,0,0.05
guarded_richer_s20_md3_ms0_rg0p03,guarded,richer,overall,2188,0.6727605118829981,0.6752377335231555,2075,113,0,20,3,0,0.03
guarded_richer_s20_md3_ms0_rg0p05,guarded,richer,overall,2188,0.6727605118829981,0.6752377335231555,2075,113,0,20,3,0,0.05
guarded_current_s10_md1_ms1_rg0p03,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,1,1,0.03
guarded_current_s10_md1_ms1_rg0p05,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,1,1,0.05
guarded_current_s10_md1_ms2_rg0p03,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,1,2,0.03
guarded_current_s10_md1_ms2_rg0p05,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,1,2,0.05
guarded_current_s10_md2_ms1_rg0p03,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,2,1,0.03
guarded_current_s10_md2_ms1_rg0p05,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,2,1,0.05
guarded_current_s10_md2_ms2_rg0p03,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,2,2,0.03
guarded_current_s10_md2_ms2_rg0p05,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,2,2,0.05
guarded_current_s10_md3_ms1_rg0p03,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,3,1,0.03
guarded_current_s10_md3_ms1_rg0p05,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,3,1,0.05
guarded_current_s10_md3_ms2_rg0p03,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,3,2,0.03
guarded_current_s10_md3_ms2_rg0p05,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,3,2,0.05
guarded_current_s20_md1_ms1_rg0p03,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,1,1,0.03
guarded_current_s20_md1_ms1_rg0p05,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,1,1,0.05
guarded_current_s20_md1_ms2_rg0p03,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,1,2,0.03
guarded_current_s20_md1_ms2_rg0p05,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,1,2,0.05
guarded_current_s20_md2_ms1_rg0p03,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,2,1,0.03
guarded_current_s20_md2_ms1_rg0p05,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,2,1,0.05
guarded_current_s20_md2_ms2_rg0p03,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,2,2,0.03
guarded_current_s20_md2_ms2_rg0p05,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,2,2,0.05
guarded_current_s20_md3_ms1_rg0p03,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,3,1,0.03
guarded_current_s20_md3_ms1_rg0p05,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,3,1,0.05
guarded_current_s20_md3_ms2_rg0p03,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,3,2,0.03
guarded_current_s20_md3_ms2_rg0p05,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,3,2,0.05
guarded_current_s5_md1_ms1_rg0p03,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,1,1,0.03
guarded_current_s5_md1_ms1_rg0p05,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,1,1,0.05
guarded_current_s5_md1_ms2_rg0p03,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,1,2,0.03
guarded_current_s5_md1_ms2_rg0p05,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,1,2,0.05
guarded_current_s5_md2_ms1_rg0p03,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,2,1,0.03
guarded_current_s5_md2_ms1_rg0p05,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,2,1,0.05
guarded_current_s5_md2_ms2_rg0p03,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,2,2,0.03
guarded_current_s5_md2_ms2_rg0p05,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,2,2,0.05
guarded_current_s5_md3_ms1_rg0p03,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,3,1,0.03
guarded_current_s5_md3_ms1_rg0p05,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,3,1,0.05
guarded_current_s5_md3_ms2_rg0p03,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,3,2,0.03
guarded_current_s5_md3_ms2_rg0p05,guarded,current,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,3,2,0.05
guarded_richer_s10_md1_ms1_rg0p03,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,1,1,0.03
guarded_richer_s10_md1_ms1_rg0p05,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,1,1,0.05
guarded_richer_s10_md1_ms2_rg0p03,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,1,2,0.03
guarded_richer_s10_md1_ms2_rg0p05,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,1,2,0.05
guarded_richer_s10_md2_ms1_rg0p03,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,2,1,0.03
guarded_richer_s10_md2_ms1_rg0p05,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,2,1,0.05
guarded_richer_s10_md2_ms2_rg0p03,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,2,2,0.03
guarded_richer_s10_md2_ms2_rg0p05,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,2,2,0.05
guarded_richer_s10_md3_ms1_rg0p03,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,3,1,0.03
guarded_richer_s10_md3_ms1_rg0p05,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,3,1,0.05
guarded_richer_s10_md3_ms2_rg0p03,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,3,2,0.03
guarded_richer_s10_md3_ms2_rg0p05,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,10,3,2,0.05
guarded_richer_s20_md1_ms1_rg0p03,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,1,1,0.03
guarded_richer_s20_md1_ms1_rg0p05,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,1,1,0.05
guarded_richer_s20_md1_ms2_rg0p03,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,1,2,0.03
guarded_richer_s20_md1_ms2_rg0p05,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,1,2,0.05
guarded_richer_s20_md2_ms1_rg0p03,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,2,1,0.03
guarded_richer_s20_md2_ms1_rg0p05,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,2,1,0.05
guarded_richer_s20_md2_ms2_rg0p03,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,2,2,0.03
guarded_richer_s20_md2_ms2_rg0p05,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,2,2,0.05
guarded_richer_s20_md3_ms1_rg0p03,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,3,1,0.03
guarded_richer_s20_md3_ms1_rg0p05,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,3,1,0.05
guarded_richer_s20_md3_ms2_rg0p03,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,3,2,0.03
guarded_richer_s20_md3_ms2_rg0p05,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,20,3,2,0.05
guarded_richer_s5_md1_ms1_rg0p03,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,1,1,0.03
guarded_richer_s5_md1_ms1_rg0p05,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,1,1,0.05
guarded_richer_s5_md1_ms2_rg0p03,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,1,2,0.03
guarded_richer_s5_md1_ms2_rg0p05,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,1,2,0.05
guarded_richer_s5_md2_ms1_rg0p03,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,2,1,0.03
guarded_richer_s5_md2_ms1_rg0p05,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,2,1,0.05
guarded_richer_s5_md2_ms2_rg0p03,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,2,2,0.03
guarded_richer_s5_md2_ms2_rg0p05,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,2,2,0.05
guarded_richer_s5_md3_ms1_rg0p03,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,3,1,0.03
guarded_richer_s5_md3_ms1_rg0p05,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,3,1,0.05
guarded_richer_s5_md3_ms2_rg0p03,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,3,2,0.03
guarded_richer_s5_md3_ms2_rg0p05,guarded,richer,overall,2188,0.6572212065813529,0.6608067665295667,2188,0,0,5,3,2,0.05
current_key_unguarded,unguarded,current,test,442,0.7239819004524887,0.7192041747124914,300,142,0,,,,
guarded_current_s10_md1_ms0_rg0p03,guarded,current,test,442,0.7239819004524887,0.7191194191688132,301,141,0,10,1,0,0.03
guarded_current_s10_md2_ms0_rg0p03,guarded,current,test,442,0.7239819004524887,0.7191194191688132,301,141,0,10,2,0,0.03
guarded_current_s10_md3_ms0_rg0p03,guarded,current,test,442,0.7239819004524887,0.7191194191688132,301,141,0,10,3,0,0.03
guarded_current_s20_md1_ms0_rg0p03,guarded,current,test,442,0.7239819004524887,0.7191194191688132,301,141,0,20,1,0,0.03
guarded_current_s20_md2_ms0_rg0p03,guarded,current,test,442,0.7239819004524887,0.7191194191688132,301,141,0,20,2,0,0.03
guarded_current_s20_md3_ms0_rg0p03,guarded,current,test,442,0.7239819004524887,0.7191194191688132,301,141,0,20,3,0,0.03
guarded_current_s5_md1_ms0_rg0p03,guarded,current,test,442,0.7239819004524887,0.7191194191688132,301,141,0,5,1,0,0.03
guarded_current_s5_md2_ms0_rg0p03,guarded,current,test,442,0.7239819004524887,0.7191194191688132,301,141,0,5,2,0,0.03
guarded_current_s5_md3_ms0_rg0p03,guarded,current,test,442,0.7239819004524887,0.7191194191688132,301,141,0,5,3,0,0.03
guarded_richer_s10_md1_ms0_rg0p03,guarded,richer,test,442,0.7239819004524887,0.7191194191688132,409,33,0,10,1,0,0.03
guarded_richer_s10_md1_ms0_rg0p05,guarded,richer,test,442,0.7239819004524887,0.7191194191688132,409,33,0,10,1,0,0.05
guarded_richer_s10_md2_ms0_rg0p03,guarded,richer,test,442,0.7239819004524887,0.7191194191688132,409,33,0,10,2,0,0.03
guarded_richer_s10_md2_ms0_rg0p05,guarded,richer,test,442,0.7239819004524887,0.7191194191688132,409,33,0,10,2,0,0.05
guarded_richer_s10_md3_ms0_rg0p03,guarded,richer,test,442,0.7239819004524887,0.7191194191688132,409,33,0,10,3,0,0.03
guarded_richer_s10_md3_ms0_rg0p05,guarded,richer,test,442,0.7239819004524887,0.7191194191688132,409,33,0,10,3,0,0.05
guarded_richer_s5_md2_ms0_rg0p03,guarded,richer,test,442,0.7239819004524887,0.7191194191688132,409,33,0,5,2,0,0.03
guarded_richer_s5_md2_ms0_rg0p05,guarded,richer,test,442,0.7239819004524887,0.7191194191688132,409,33,0,5,2,0,0.05
guarded_richer_s5_md3_ms0_rg0p03,guarded,richer,test,442,0.7239819004524887,0.7191194191688132,409,33,0,5,3,0,0.03
guarded_richer_s5_md3_ms0_rg0p05,guarded,richer,test,442,0.7239819004524887,0.7191194191688132,409,33,0,5,3,0,0.05
richer_key_unguarded,unguarded,richer,test,442,0.7194570135746606,0.7150599474115135,406,36,0,,,,
guarded_richer_s5_md1_ms0_rg0p03,guarded,richer,test,442,0.7194570135746606,0.7149963916826086,407,35,0,5,1,0,0.03
guarded_richer_s5_md1_ms0_rg0p05,guarded,richer,test,442,0.7194570135746606,0.7149963916826086,407,35,0,5,1,0,0.05
guarded_current_s10_md1_ms0_rg0p05,guarded,current,test,442,0.7104072398190046,0.7072323906219274,350,92,0,10,1,0,0.05
guarded_current_s10_md2_ms0_rg0p05,guarded,current,test,442,0.7104072398190046,0.7072323906219274,350,92,0,10,2,0,0.05
guarded_current_s10_md3_ms0_rg0p05,guarded,current,test,442,0.7104072398190046,0.7072323906219274,350,92,0,10,3,0,0.05
guarded_current_s20_md1_ms0_rg0p05,guarded,current,test,442,0.7104072398190046,0.7072323906219274,350,92,0,20,1,0,0.05
guarded_current_s20_md2_ms0_rg0p05,guarded,current,test,442,0.7104072398190046,0.7072323906219274,350,92,0,20,2,0,0.05
guarded_current_s20_md3_ms0_rg0p05,guarded,current,test,442,0.7104072398190046,0.7072323906219274,350,92,0,20,3,0,0.05
guarded_current_s5_md1_ms0_rg0p05,guarded,current,test,442,0.7104072398190046,0.7072323906219274,350,92,0,5,1,0,0.05
guarded_current_s5_md2_ms0_rg0p05,guarded,current,test,442,0.7104072398190046,0.7072323906219274,350,92,0,5,2,0,0.05
guarded_current_s5_md3_ms0_rg0p05,guarded,current,test,442,0.7104072398190046,0.7072323906219274,350,92,0,5,3,0,0.05
guarded_richer_s20_md1_ms0_rg0p03,guarded,richer,test,442,0.7058823529411765,0.7016010491053032,417,25,0,20,1,0,0.03
guarded_richer_s20_md1_ms0_rg0p05,guarded,richer,test,442,0.7058823529411765,0.7016010491053032,417,25,0,20,1,0,0.05
guarded_richer_s20_md2_ms0_rg0p03,guarded,richer,test,442,0.7058823529411765,0.7016010491053032,417,25,0,20,2,0,0.03
guarded_richer_s20_md2_ms0_rg0p05,guarded,richer,test,442,0.7058823529411765,0.7016010491053032,417,25,0,20,2,0,0.05
guarded_richer_s20_md3_ms0_rg0p03,guarded,richer,test,442,0.7058823529411765,0.7016010491053032,417,25,0,20,3,0,0.03
guarded_richer_s20_md3_ms0_rg0p05,guarded,richer,test,442,0.7058823529411765,0.7016010491053032,417,25,0,20,3,0,0.05
guarded_current_s10_md1_ms1_rg0p03,guarded,current,test,442,0.6787330316742082,0.6740747626200371,442,0,0,10,1,1,0.03
guarded_current_s10_md1_ms1_rg0p05,guarded,current,test,442,0.6787330316742082,0.6740747626200371,442,0,0,10,1,1,0.05
guarded_current_s10_md1_ms2_rg0p03,guarded,current,test,442,0.6787330316742082,0.6740747626200371,442,0,0,10,1,2,0.03
guarded_current_s10_md1_ms2_rg0p05,guarded,current,test,442,0.6787330316742082,0.6740747626200371,442,0,0,10,1,2,0.05
guarded_current_s10_md2_ms1_rg0p03,guarded,current,test,442,0.6787330316742082,0.6740747626200371,442,0,0,10,2,1,0.03
guarded_current_s10_md2_ms1_rg0p05,guarded,current,test,442,0.6787330316742082,0.6740747626200371,442,0,0,10,2,1,0.05
guarded_current_s10_md2_ms2_rg0p03,guarded,current,test,442,0.6787330316742082,0.6740747626200371,442,0,0,10,2,2,0.03
guarded_current_s10_md2_ms2_rg0p05,guarded,current,test,442,0.6787330316742082,0.6740747626200371,442,0,0,10,2,2,0.05
guarded_current_s10_md3_ms1_rg0p03,guarded,current,test,442,0.6787330316742082,0.6740747626200371,442,0,0,10,3,1,0.03
guarded_current_s10_md3_ms1_rg0p05,guarded,current,test,442,0.6787330316742082,0.6740747626200371,442,0,0,10,3,1,0.05
guarded_current_s10_md3_ms2_rg0p03,guarded,current,test,442,0.6787330316742082,0.6740747626200371,442,0,0,10,3,2,0.03
guarded_current_s10_md3_ms2_rg0p05,guarded,current,test,442,0.6787330316742082,0.6740747626200371,442,0,0,10,3,2,0.05
guarded_current_s20_md1_ms1_rg0p03,guarded,current,test,442,0.6787330316742082,0.6740747626200371,442,0,0,20,1,1,0.03
guarded_current_s20_md1_ms1_rg0p05,guarded,current,test,442,0.6787330316742082,0.6740747626200371,442,0,0,20,1,1,0.05
guarded_current_s20_md1_ms2_rg0p03,guarded,current,test,442,0.6787330316742082,0.6740747626200371,442,0,0,20,1,2,0.03
